[D]281939. 可通过炎症脑膜进入脑脊液的药物是
B. 丁胺卡那霉素
C. 庆大霉素
D. 异烟肼
E. 卡那霉素

[D]282004. 有关异烟肼的错误叙述项是
A. 抗菌力强
B. 对结核杆菌有高度的选择性
C. 穿透力强
D. 单用时结核杆菌不易产生耐药性
E. 口服易吸收

[A]282006. 具有肝药酶抑制作用的抗结核药物是
A. 异烟肼
B. 利福平
C. 乙胺丁醇
D. 链霉素
E. 吡嗪酰胺

[B]282009. 异烟肼的药理作用特点不包括
A. 对结核杆菌有高度的选择性
B. 单用时结核杆菌不易产生耐药性
C. 抗菌力强
D. 治疗量下不良反应少而轻
E. 穿透力强，易渗入纤维化病灶中

[C]282010. 利福平的抗菌机制
A. 抑制细菌叶酸的合成
B. 抑制细菌DNA螺旋酶
C. 抑制细菌DNA依赖性RNA多聚酶
D. 抑制细菌分枝酸的合成
E. 抑制细菌蛋白质的合成

[E]282011. 乙胺丁醇最重要的不良反应是
A. 肝脏损害
B. 外周神经炎
C. 肾脏损害
D. 耳毒性
E. 视神经炎

[A]282012. 使用异烟肼时为防止引起神经系统症状，宜合用
A. 维生素
B. 维生素
C. 维生素E
D. 维生素C
E. 维生素

[B]282013. 治疗活动性结核的首选药是
A. 利福平
B. 异烟肼
C. 链霉素
D. 乙胺丁醇
E. 对氨基水杨酸

[A]282015. 既可用于治疗又可用作预防的抗结核药物是
A. 异烟肼
B. 链霉素
C. 对氨基水杨酸
D. 乙胺丁醇
E. 利福平

[A]282016. 抗结核6个月短程方案，强化期2个月常联合应用的三联药物是
A. 异烟肼、利福平、吡嗪酰胺
B. 异烟肼、链霉素、乙胺丁醇
C. 利福平、吡嗪酰胺、链霉素
D. 异烟肼、链霉素、乙硫异烟胺
E. 异烟肼、对氨水杨酸、链霉素

[B]282017. 能杀灭疟原虫红内期和阿米巴滋养体的药物是
A. 甲硝唑
B. 氯喹
C. 乙胺嘧啶
D. 吡喹酮
E. 喹碘方

[C]282019. 以下对氯喹的描述中错误的是
A. 杀灭疟原虫红内期
B. 抗疟疗效高、生效快
C. 作用持久但毒性大
D. 对阿米巴肝脓肿有效
E. 亦可用于类风湿性关节炎

[E]282020. 对耐氯喹的恶性疟无效的是
A. 奎宁
B. 青蒿素
C. 本芴醇
D. 甲氟喹
E. 乙胺嘧啶

[A]282021. 关于抗疟药叙述正确的是
A. 氯喹用于控制疟疾症状发作
B. 伯氨喹用于疟疾病因性预防
C. 奎宁常用于根治间日疟
D. 乙胺嘧啶可引起特异质反应
E. 甲氟喹杀灭继发性红外期

[C]282022. 根治间日疟的用药方案为
A. 乙胺嘧啶+伯氨喹
B. 乙胺嘧啶+氯喹
C. 伯氨喹+氯喹
D. 青蒿素+氯喹
E. 青蒿素+乙胺嘧啶

[C]282023. 伯氨喹引起特异质反应是因为
A. 伯氨喹剂量过大
B. 缺乏二氢叶酸还原酶
C. 红细胞缺乏葡萄糖6-磷酸脱氢酶（G6P）
D. 叶酸缺乏
E. 骨髓抑制

[A]282024. 对脑型疟疾抢救效佳的药物是
A. 青蒿素
B. 氯喹
C. 伯氨喹
D. 乙胺嘧啶
E. 甲氟喹

[D]282025. 关于青蒿素叙述错误的是
A. 由黄花蒿中提取的有效成分
B. 能杀灭红内期滋养体
C. 可透过血脑屏障，对脑型疟有效
D. 对耐氯喹虫株感染无效
E. 抗疟时最大缺点是复发率高

[C]282028. 主要作用于S期的抗癌药
A. 烷化剂
B. 抗癌抗生素
C. 抗代谢药
D. 长春碱类
E. 激素类

[C]282030. 5-氟尿嘧啶对下列哪种肿瘤疗效较好
A. 绒毛膜上皮癌
B. 膀胱癌和肺癌
C. 消化道癌和乳腺癌
D. 卵巢癌
E. 子宫颈癌

[D]282032. 博来霉素引起的最严重不良反应是
A. 骨髓抑制
B. 免疫抑制
C. 胃肠道反应
D. 肺纤维化
E. 心脏毒性

[A]282034. 易引起出血性膀胱炎的烷化剂是
A. 环磷酰胺
B. 氮芥
C. 氮甲
D. 卡氮芥
E. 白消安

[B]282035. 阻碍细胞有丝分裂的抗恶性肿瘤药是
A. 甲氨蝶呤
B. 长春新碱
C. 阿霉素
D. 氟尿嘧啶
E. 以上都不是

[A]282037. 对骨髓抑制作用较轻的抗癌抗生素是
A. 博来霉素
B. 放线菌素D
C. 阿霉素
D. 光辉霉素
E. 丝裂霉素

[A]282045. 6-巯嘌呤对下列哪种肿瘤疗效好
A. 儿童急性淋巴细胞白血病
B. 成人急性淋巴细胞白血病
C. 慢性粒细胞白血病
D. 恶性淋巴瘤
E. 绒毛膜上皮癌

[A]282047. 细胞周期特异性的抗肿瘤药是
A. 氟尿嘧啶
B. 氮芥
C. 环磷酰胺
D. 塞替哌
E. 阿霉素

[A]282049. 周期非持异性抗恶性肿瘤药对下列哪期肿瘤细胞不敏感
A. G0期
B. G1期
C. G2期
D. S期
E. M期

[E]282050. 5-氟尿嘧啶是
A. 拓扑异构酶抑制药
B. 二氢叶酸还原酶抑制药
C. 核苷酸还原酶抑制药
D. DNA多聚酶抑制药
E. 脱氧胸苷酸合成酶抑制药

[C]282051. 甲氨蝶呤的抗肿瘤作用是
A. 阻止脱氧胸苷酸的合成
B. 阻止嘌呤核苷酸的合成
C. 阻止二氢叶酸还原为四氢叶酸
D. 阻止胞苷酸转变为脱氧胞苷酸
E. 阻止肌苷酸转变为腺苷酸和鸟苷酸

[E]282052. 能使细胞有丝分裂停止于中期的药物是
A. 甲氨蝶呤
B. 放线菌素
C. 阿糠胞苷
D. 氟尿嘧啶
E. 长春碱

[D]282053. 阿糖胞苷的抗肿瘤作用主要是
A. 接入DNA中干扰其复制
B. 阻止脱氧尿苷酸转变为脱氧胸苷酸
C. 阻止肌苷酸转变为腺苷酸和鸟苷酸
D. 阻止4种脱氧核苷酸聚合成DNA链
E. 阻止胞苷酸转变为脱氧胸苷酸

[A]282055. 白消安对哪种肿瘤疗效最好
A. 慢性粒细胞白血病
B. 慢性粒细胞白血病急性变
C. 急性粒细胞白血病
D. 急性淋巴细胞白血病
E. 恶性淋巴瘤

[C]282056. 能络合铜或铁离子，产生氧自由基，使DNA单链断裂，阻止复制的药物是
A. 丝裂霉素C
B. 放线菌素D
C. 博莱霉素
D. 阿霉素
E. 柔红霉素

[A]282059. 环磷酰胺的不良反应不包括
A. 血压升高
B. 恶心、呕吐
C. 脱发
D. 骨髓抑制
E. 血尿、蛋白尿

[B]282061. 主要作用于M期的抗肿瘤药是
A. 甲氨蝶呤
B. 长春新碱
C. 氟尿嘧啶
D. 环磷酰胺
E. 巯嘌呤

[C]282064. 氟尿嘧啶的主要不良反应
A. 肝损害
B. 神经毒性
C. 胃肠道反应
D. 血尿、蛋白尿
E. 过敏反应

[D]282036. 可减轻甲氨蝶呤骨髓毒性反应的药物是
A. 维生素C
B. 叶酸
C. 维生素B
D. 甲酰四氢叶酸钙
E. 硫酸亚铁

[A]282062. 下列哪种药不属于抗代谢药
A. 环磷酰胺
B. 阿糖胞苷
C. 氟尿嘧啶
D. 巯嘌呤
E. 甲氨蝶呤

