D1. 下列除哪项外,均为革兰染色的意义
D14. 确诊细菌性感染最可靠的方法是 
A. 观察临床症状
B. 询问病史
C. 用抗生素试探性治疗,根据疗效诊断    
D. 根据不同疾病采取不同标本进行细菌的分离与鉴定
E. 以上都对

D15. 关于药物敏感性试验,下列说法正确的是
A. 药敏试验的结果是指导临床用药的唯一依据    
B. 根据药敏试验的结果,应采用抑菌环最大的药物    
C. 抑菌环直径为2.5cm属于高度敏感药物    
D. 纸片法是根据抑菌环的有无和大小来判定试验菌对该抗菌药物耐药或敏感的   
E. 以上说法都正确

B16. 检测病原菌抗原的优点是
A. 比分离培养细菌诊断细菌性感染可靠    
B. 即使在发病早期使用了抗生素,标本中的病原菌已被抑制或被杀死,也不影响病原菌抗原的检出    
C. 敏感性稍差,标本中需含有大量抗原才能被特异性抗体检出    
D. 此类方法更简便、迅速,多数只需几分钟的时间就可观察结果    
E. 以上说法均正确

D17. 下列关于血清学诊断正确的是
A. 一般适用于抗原性较弱,以及病程较长的传染病诊断    
B. 是感染性疾病最重要的诊断依据    
C. 不能用于调查人群对某病原体的免疫水平及检测预防接种效果    
D. 在血清学诊断中,通常取双份血清    
E. 如果抗体效价低,即可否定感染

D18. 下列试验中不属于血清学诊断方法的是
A. 肥达试验
B. 外斐试验
C. ELISA
D. 糖发酵试验
E. 抗O试验

E19. 死疫苗的特点是
A. 接种次数少
B. 接种剂量小
C. 接种后局部和全身反应不明显   
D. 能刺激特异性CTL细胞产生
E. 生产方法简单,易保存

C20. DPT三联疫苗是
A. 鼠疫、百日咳、破伤风
B. 白喉、霍乱、破伤风    
C. 白喉、百日咳、破伤风
D. 伤寒、霍乱、钩端螺旋体    
E. 鼠疫、百日咳、脊髓灰质炎

D21. 血清学诊断病毒感染时,应在急性期和恢复期各取一份标本,以比较两份标本的抗体效价,恢复期血清的抗体效价较急性期血清的抗体效价高几倍有诊断意义:
A. 1~2倍
B. 2~3倍
C. 3~4倍
D. 4倍以上
E. 10倍以上

B22. 病毒标本运送要求:
A. 常温下运送
B. 低温快速运送
C. 任何温度下快速运送
D. 加防腐剂运送
E. 以上均可

C23. 预防病毒感染最有效的办法是:
A. 用化学药物
B. 用免疫血清
C. 用减毒活疫苗自动免疫
D. 用干扰素
E. 用抗生素

B24. 现仍用灭活疫苗预防的疾病有:  
A. 麻疹
B. 流行性乙型脑炎
C. 登革热
D. 风疹
E. 腮腺炎

D25. 能用活疫苗预防的病毒感染是:
A. 丙型肝炎
B. 乙型肝炎
C. 乙型脑炎
D. 脊髓灰质炎
E. AIDS

A26. 感染病毒的细胞在胞核或胞浆内存在可着色的斑块状结构称: 
A. 包涵体;
B. 蚀斑;
C. 空斑;
D. 极体;
E. 异染颗粒;

B27. 无环鸟苷(ACV)有效控制单纯疱疹病毒的作用机理是: 
A. ACV作用于敏感细胞表面受体
B. ACV抑制病毒DNA多聚酶和DNA合成
C. ACV抑制病毒RNA聚合酶
D. ACV抑制敏感细胞DNA复制
E. ACV抑制病毒蛋白合成

B28. 用直接电镜法可做出早期快速诊断的病毒是: 
A. 疱疹病毒
B. 轮状病毒
C. 流感病毒
D. 巨细胞病毒
E. 腺病毒

B29. 下列不适于培养动物病毒的方法是:  
A. 鸡胚培养
B. 人工合成培养基培养
C. 二倍体细胞培养
D. 组织培养
E. 动物培养

D30. 不能作为病毒在细胞内生长繁殖指标的一项是:  
A. 致细胞病变作用
B. 红细胞凝集
C. 干扰现象
D. 细胞培养液变混浊
E. 细胞培养液PH改变

D31. 病毒的中和试验是病毒血清学特异试验,以下描述中不正确的是:  
A. 中和试验是指中和抗体与病毒结合,使病毒失去感染性的试验
B. 中和试验需用活细胞或鸡胚或动物来判断结果   
C. 中和试验是一种特异性较高的试验
D. 中和抗体在体内维持时间较短    
E. 中和试验是用已知病毒抗原检测中和抗体

A32. 有关包涵体的描述错误的是:  
A. 包涵体的形成一定是特异的
B. 包涵体的形成对病毒感染的诊断有一定意义 
C. 包涵体的形成不一定是特异的
D. 有些细菌感染也可引起细胞浆出现包涵体 
E. 许多理化因素也可引起细胞浆出现包涵体

E33. 抗病毒药物不包括:  
A. 金刚烷胺
B. 无环鸟苷
C. 叠氮脱氧胸苷
D. 干扰素
E. 头孢三嗪

C34. 病毒感染的微生物检查阳性结果的关键取决于:  
A. 病毒种类
B. 病毒毒力
C. 标本的正确采集和运送
D. 病毒抗原性
E. 机体免疫力

B35. 光镜能直接观察的病毒是:  
A. 巨细胞病毒
B. 痘病毒
C. 乳头瘤病毒
D. 类病毒
E. 以上都不是

D36. 下列有关病毒疫苗的描述不正确的是:  
A. 减毒活疫苗通常是选择对人毒力低的变异株
B. 减毒活疫苗有回复毒力的可能性  
C. 灭活疫苗可诱导机体产生IgG抗体
D. 灭活疫苗通常可诱导机体产生IgA抗体  
E. 减毒活疫苗有活化体内其他潜伏病毒的可能

D37. 可用作快速诊断的血清学方法是
A. 中和试验
B. 取双份血清,在二次血清抗体升高4倍以上有诊断意义
C. 血凝抑制试验
D. 用ELISA法检测特异性IgM
E. PCR

D38. 在传染病的预防接种中,使用减毒活疫苗比使用灭活疫苗普遍,关于其原因下述中不正确的是
A. 减毒活疫苗的免疫效果优于灭活疫苗
B. 减毒活疫苗刺激机体产生的特异性免疫的持续时间比灭活疫苗长
C. 减毒活疫苗能在机体内增殖或干扰野毒株的增殖及致病作用,灭活疫苗则不能
D. 减毒活疫苗可诱导机体产生分泌型IgA,故适用于免疫缺陷或免疫功能低下的患者
E. 减毒活疫苗一般只需要接种一次即可达到免疫效果,而死活疫苗需要接种多次

C39. 不属于人工被动免疫方式的是
A. 注射人血清丙种球蛋白
B. 注射胎盘丙种球蛋白
C. 注射免疫核糖核酸
D. 注射胸腺素
E. 通过胎盘从母体获得抗体

D40. 不是抗菌药物作用机制的一项是
A. 抑制细胞壁的合成
B. 影响细胞膜的通透性。
C. 抑制蛋白质的合成
D. 抑制逆转录酶活性  
E. 抑制核酸代谢

E41. 鉴定多细胞真菌主要应用的检查方法是
A. 革兰染色后镜检
B. 墨汁负染色后镜检
C. 血清学检查
D. 生化反应检查
E. 小培养检查菌丝和孢子

B42. 关于抗真菌药物的作用机制,错误的是
A. 干扰细胞壁几丁质成分的合成
B. 破坏细胞壁肽聚糖骨架中的β-l,4糖苷键
C. 干扰细胞膜脂质合成  
D. 影响核酸功能E干扰真菌对大分子物质的摄取及贮存

E43. 下列哪种药物对病毒的感染无效
A. 阿昔洛韦
B. 拉咪呋啶
C. AZT
D. 蛋白酶抑制剂
E. 两性霉素

C44. 有关灭活疫苗的描述不正确的是
A. 投入途径为注射
B. 免疫次数为多次
C. 细胞介导免疫良好
D. 对温度不敏感
E. 不受其他病毒干扰

E45. 以下描述正确的是
A. 人工被动免疫接种的物质是抗体
B. 人工被动免疫不能用于治疗  
C. 人工主动免疫接种的物质是丙种球蛋白
D. 人工主动免疫主要用于治疗
E. 人工被动免疫主要用于紧急预防

C46. 有关人工主动免疫特点的描述不正确的是
A. 给机体输入抗原性物质
B. 免疫接种后1~4周出现免疫力
C. 免疫力维持时间较短
D. 使机体产生特异性体液免疫应答
E. 使机体产生特异性细胞免疫应答

B47. 有关病毒标本采集和运送,不正确的方法是
A. 发病早期或急性期采集标本
B. 发病晚期采集标本
C. 标本运送应放在带有冰块的保温瓶
D. 标本采集后应立即送实验室检查
E. 运输培养基中应含有抗生素

B48. 使用减毒活疫苗预防病毒性疾病时,下列哪一项不是潜在的危险因素
A回复为有毒野毒株而致病      B进人非寻常部位引起并发症
C刺激过强而引起免疫逃逸或耐受
D活化其他潜伏病毒            E引起持续性感染

D49. 关于死疫苗的叙述,下列哪项是错误的
A. 选用免疫原性强的病原体用理化方法灭活而成
B. 较活疫苗易保存
C. 副作用较大
D. 需要多次小剂量注射
E. 常制成联合疫苗

A50. 关于PCR技术,下列哪种叙述是错误的
A. 是一种有细胞的分子克隆技术
B. 是一种DNA扩增技术
C. 具有快速、灵敏和特异性强等特点
D. 可用于病毒DNA片段的检测
E. 也可用于细菌等微生物DNA片段的检测

A51. 关于人工被动免疫下列哪项是错误的
A. 直接注射免疫反应产物,使之产生相应免疫力
B. 作用快
C. 维持时间短
D. 可用于紧急预防
E. 也可作为平时预防的方法

A52. 下列哪种是活疫苗制剂?
A. 减毒疫苗
B. 基因缺陷型疫苗
C. 化学疫苗
D. DNA重组疫苗
E. 以上都不是

D53. 目前真菌感染的防治措施不包括
A. 注意清洁卫生
B. 提高机体免疫力
C. 接种真菌疫苗
D. 合理使用抗生素
E. 使用抗真菌药物

C54. 病毒中和抗体的作用是
A. 直接杀伤病毒
B. 阻止病毒吸附
C. 阻止病毒核酸转录
D. 阻止病毒脱壳E阻止蛋白合成

E55. 下列哪种物质不能用于人工被动免疫
A. 抗素素
B. 结核菌素
C. 丙种球蛋白
D. 抗病毒血清
E. 转移因子

A56. 下列哪一项不适合用于病毒感染性疾病的快速诊断
A. 中和试验
B. 免疫荧光试验
C. 电镜检查
D. 酶免疫技术
E. 血凝抑制试验

A57. 类毒素是
A. 抗毒素经甲醛处理后的物质
B. 细菌素经甲醛处理后的物质
C. 外毒素经甲醛处理后脱毒而保持抗原性的物质
D. 内毒素经甲醛处理后脱毒而保持抗原性的物质
E. 外毒素经甲醛处理后脱毒并改变了抗原性的物质

E58. 进行病毒病原学检查的组织标本递送要求是
A. 暖箱保存
B. 室温保存
C. 加人防腐剂
D. 冷藏速送
E. 加入含抗生素的50%甘油缓冲盐水液中冷藏速送

E59. 检查包涵体可以作为
A. 病毒在细胞内增殖的标志之一
B. 衡量病毒毒力强弱的标准
C. 诊断中枢神经系统病毒感染
D. 鉴定病毒的特异性依据
E. 测定病毒数量的指标

E60. 关于血清学诊断方法,下列哪项是错误的
A. 伤寒-肥达反应
B. 风湿症-抗“O”试验
C. 斑疹伤寒-外斐反应
D. 梅毒螺旋体-制动试验 
E. 结核-结核菌素试验

D61. 机体抗外毒素的免疫主要依靠
A. 激活的巨噬细胞分泌的蛋白酶类
B. IgG、IgM抗体
C. 辅助 T细胞
D. 靶细胞表面毒素受体被修饰E细胞毒性T细胞

A62. 均可用抗毒素进行紧急预防的疾病是
A. 破伤风与结核病
B. 肠热症与波状热
C. 白喉与痢疾
D. 白喉与破伤风
E. 猩红热与风湿热

B63. BCG属于
A. 活疫菌
B. 死疫菌
C. 类毒素
D. 抗毒素
E. 转移因子

D64. 预防伤寒用
A. 活疫菌
B. 死疫苗
C. 类毒素
D. 抗毒素
E. 转移因子

C65. 白喉治疗用
A. 活疫菌
B. 死疫菌
C. 类毒素              
D. 抗毒素
E. 转移因子

C66. 预防破伤风用
A. 活疫菌
B. 死疫菌
C. 类毒素
D. 抗毒素
E. 转移因子

B67. 哪项不是病毒在细胞内增殖的检测指标
A. 检测细胞病变
B. 观察血细胞吸附
C. 进行蚀斑测定
D. 检查病毒抗原
E. 观察干扰现象

A68. 不属于1岁以内婴儿计划免疫的是
A. 脊髓灰质炎疫苗
B. 肺炎链球菌疫苗
C. 麻疹疫苗
D. 百日咳疫苗
E. 乙肝疫苗

E69. 我国规定1岁内必须完成的计划免疫是
A. 麻疹疫苗
B. 乙脑疫苗
C. 流脑疫苗
D. 流感疫苗
E. 甲型肝炎疫苗

A70. 男性,10岁。右足底被铁锈钉刺伤10天。突然出现张口困难,继之出现苦笑面容,角弓反张,声响及触碰病人可诱发上述症状病人神志清楚,不发热。该病致病菌属于
A. 革兰染色阴性大肠杆菌
B. 革兰染色阴性厌氧拟杆菌
C. 革兰染色阴性变形杆菌
D. 革兰染色阳性梭形芽胞杆菌
E. 革兰染色阳性厌氧芽胞杆菌

D71. 该病属于
A. 毒血症
B. 菌血症
C. 败血症
D. 脓血症
E. 脓毒血症

