[D]1. 正常人血液pH为
[B]18. 呼吸性酸中毒时血浆PCO2为
A. 40mmHg
B. 45mmHg
C. 35mmHg
D. 20mmHg
E. >80mmHg

[A]19. 血浆碱剩余(B.E)的正常值约为
A. 03mmol/L
B. -13mmol/L
C. 5 mmol/L
D. 10 mmol/L
E. 15 mmol/L

[C]20. 下列关于肾脏对钾盐排泄的叙述哪一项是错误的
A. 多吃多排
B. 少吃少排
C. 不吃不排
D. 不吃也排
E. 易于缺钾

[E]21. 下列缓冲对中哪一对的pH不是7.4
A. [HCO3-]/[H2CO3]为2mol/L/0.1mol/L
B. [HCO3-]/[H2CO3]为1mol/L/0.05mol/L
C. [HPO42-]/[H2PO4-]为 2mol/L/0.5mol/L
D. [HPO42-]/[H2PO4-]为1mol/L0.25mol/L
E. [HCO3-]/[H2CO3]为1mol/L/0.04mol/L

[C]22. 下面哪种情况易致高血钾
A. 因长期不能进食而由静脉补充营养时
B. 严重呕吐
C. 静脉输入过多钾盐
D. 糖和蛋白代谢旺盛
E. 进食含钾较多食物

[A]23. 下面哪种情况易致低血钾
A. 严重腹泻
B. 高热
C. 创伤
D. 急性肾衰少尿期
E. 缺氧

[C]24. 维持细胞外液渗透压的主要离子是
A. 钾离子和氯离子
B. 钾离子和磷酸氢根
C. 钠离子和氯离子
D. 钠离子和磷酸氢根
E. 钠离子和碳酸氢根

[E]25. 下列哪项可引起低钾血症
A. 钾输入过多
B. 急性肾功能衰竭
C. 少尿
D. 烧伤
E. 严重腹泻，呕吐

[A]26. 下列哪组血浆离子浓度的变化能帮助诊断代谢性碱中毒
A. [HCO3-]升高, 伴有[K+]下降, [Cl-]相对下降
B. [HCO3-]升高, 伴有[K+]升高, [Cl-]相对下降
C. [HCO3-]升高, 伴有[K+]下降, [Cl-]相对升高
D. [HCO3-]下降,伴有[K+]升高, [Cl-]相对升高
E. [HCO3-]下降, 伴有[K+]下降, [Cl-]相对下降

[B]27. 下列哪组血浆离子浓度的变化能帮助诊断呼吸性酸中毒
A. [HCO3-]升高, 伴有[K+]下降
B. [HCO3-]升高, 伴有[K+]升高
C. [HCO3-]升高, 而[K+]不变
D. [HCO3-]下降, 伴有[K+]下降
E. [HCO3-]下降,伴有[K+]升高

[E]28. 血浆阴离子间隙（AG）指
A. 血浆阳离子减去阴离子
B. 血浆阴离子减去阳离子
C. 血浆阴离子总和
D. 血浆[Cl-]与[HCO3-]之和减去[Na+]
E. 血浆中未测定的阳离子减去未测定的阴离子

[A]29. 体液中H+浓度的变化可导致细胞内哪种离子含量的变化
A. K+
B. Mg2+
C. Mn2+
D. Na+
E. Ca2+

[B]30. 正常血浆在37℃时，血浆CO2的熔解度系数约为
A. 0.003
B. 0.03
C. 0.30
D. 0.13
E. 1.30
