[D]1. 自由水清除率等于或接近0，则提示

[E]14. Ccr为系列哪项提示终末期肾衰
A. <50ml/min  B  <40ml/min  C <30ml/min   D <20ml/min   E <10ml/min

[B]15. 关于自由水清除率的描述，错误的是
A. 反应肾髓质的尿液浓缩和稀释功能的指标
B. 正值代表低渗尿，负值代表高渗尿
C. 持续为0 ,提示为严重的肾功能损伤
D. 计算公式为[1-(Uosm/Posm)]×V
E. 反应水和溶质的相对排泄率

[A]16. 肾脏调节血液PH值的机制是
A. 排出过多的酸和碱，调节血浆的HCO3-浓度
B. Cl-重吸收
C. Na+与水重吸收
D. K+的重吸收
E. NH3及NH4+的排出

[E]17. 肾小管酸中毒的描述，错误的是
A. 肾小管酸中毒是由于肾小管受损而导致慢性酸中毒
B. 肾小管远端小管和近端小管都有排H+作用
C. HCO3-的重吸收多数在近端小管发生
D. 肾小管酸中毒是一种代谢性酸中毒
E. 肾小管有碱化尿液的作用

[C]18. 内生肌酐清除率参考值是
A. 50-70ml/min   B 70-90 ml/min    C 80-120 ml/min   D 120-130 ml/min
E. 130-150 ml/min

[C]19. 氯化铵负荷试验主要用于诊断
A. 近端肾小管酸中毒
B. 高钾性酸中毒
C. 远端肾小管酸中毒
D. 混合性酸中毒
E. 以上均不是

[D]20. 下列哪项最能反映肾浓缩功能损害程度
A. 肉眼血尿         B 大量蛋白尿      C 管型尿     D 等渗尿    E 脓尿

[D]21. 肾小球功能损害最早见于下列哪项检查异常
A. 酚红排泄试验
B. 血尿素升高
C. 血肌酐升高
D. 内生肌酐清除率
E. 自由水清除率

[A]22. 反应远曲小管和集合管功能的试验是
A. 浓缩稀释试验
B. PSP排泄试验
C. 血肌酐. 尿素测定
D. 内生肌酐清除率
E. 同位素肾图

[D]23. 尿液中β2微球蛋白升高，而血液中β2微球蛋白不升高，此时出现蛋白尿属于
A. 肾小球性蛋白尿
B. 溢出性蛋白尿
C. 分泌性蛋白尿
D. 肾小管性蛋白尿
E. 组织性蛋白尿

[C]24. 原发性肾病综合征血浆蛋白电泳的变化是
A. 清蛋白升高
B. α1-球蛋白升高
C. α2和β-球蛋白升高
D. γ-球蛋白升高
E. α1-球蛋白和β-球蛋白升高

[C]25. 原发性肾病综合征，血中不升高的是
A. 脂蛋白     B 胆固醇     C IgG     D 凝血因子    E 甘油三酯

[D]26. 关于肾脏功能检测，下列那一项是不正确的
A. 菊粉清除率可准确代表肾小球滤过率
B. β2-MG测定是诊断肾脏进曲小管受损的敏感指标
C. 尿内出现大量蛋白尿并不能说明肾功能损伤严重
D. 酚红排泌试验可反映肾小管的重吸收功能
E. 血尿素和肌酐主要反映肾小球滤过功能

[C]27. 能更好地反映肾脏浓缩稀释功能的指标是
A. 尿比重   B 夜尿量   C 尿渗量    D 蛋白尿    E 24h尿量

[B]28. 尿液中含量不受饮食和尿量影响，排出量最为恒定的是
A. 肌酸    B 肌酐     C 尿素      D 尿酸      E 尿酶

[C]29. 选择性蛋白尿主要用于检查
A. 肾小球滤过率改变
B. 肾小管重吸收功能障碍
C. 肾小球病变程度
D. 肾间质病变程度
E. 肾小管病变程度

[B]30. 出现非选择性蛋白尿主要说明
A. 肾小球有严重病变
B. 肾小球滤过膜孔径异常增大
C. 肾小球与肾小管联合病变
D. 肾小球滤过静电屏障受损
E. 以上都不是

[E]31. GFR测定的参考方法是
A. 肌酐清除率
B. 对氨基马尿酸清除率
C. 尿素清除率
D. 尿酸清除率
E. 菊粉清除率

分子诊断

[C]1. 被称为第三代遗传学标记的是（  ）
A. RFLP    B VNTR    C  SNP     D  STR      E  EST

2. 分子诊断对于下列哪类疾病最具有确切的临床诊断意义（  ）
A. 单基因遗传病
B. 多基因遗传病
C. 染色体疾病
D. 肿瘤
E. 畸形

[D]3. 地中海贫血的原因是（  ）
A. 铁代谢异常
B. 血红蛋白破坏加速
C. 血红蛋白生成障碍
D. 珠蛋白基因碱基突变导致氨基酸序列改变
E. 两条珠蛋白链生成不平衡

[A]4. 有关SNP位点的描述，不正确的是（  ）
A. 单个SNP位点遗传信息含量大，因此具有广泛应用前景
B. 被称为第三代的遗传学标记
C. 在整个基因组中大约有300万个SNP位点
D. 生物芯片技术可以提高SNP位点的检测
E. SNP位点是单个核苷酸的变异

[C]5. 亲子鉴定中目前应用最广泛的方法是（  ）
A. 基因测序
B. 多个SNP位点检测
C. 不同染色体上STR位点基因扫描
D. PCR-SSCP技术
E. PCR-RFLP技术

[B]6. 用于基因突变检测的技术是（  ）
A. 荧光定量PCR技术
B. PCR-RFLP技术
C. PCR微卫星检测技术
D. western印迹杂交技术
E. cDNA表达芯片技术

[D]7. 下疾病属于单基因遗传病的是（  ）
A. 高血压
B. 高血脂
C. 肝癌
D. DMD
E. 银屑病

[E]8. 间接诊断遗传性疾病的特点有，除外（  ）
A. 不能明确诊断突变点
B. 必须有完整的家系资料
C. 存在散发病例的可能
D. 存在基因重组的可能
E. 不能应用于产前诊断

