[E]1. 关于胶乳凝集试验，说法错误的是
E. Ⅱ. Ⅳ. Ⅴ型超敏反应

[C]23. 骨髓移植时，预防GVHR的特定的预防方法是
A. ABO血型配型
B. HLA 配型
C. 选择性地去除移植物中针对宿主抗原的T淋巴细胞
D. ABO 血型配型和HLA配型
E. 免疫抑制药物的使用

[A]24. B细胞免疫缺陷最常见的感染是：
A. 化脓菌感染
B. 病毒感染
C. 寄生虫感染
D. 真菌感染
E. 原虫感染

[A]25. 移植物排斥反应中免疫应答的主要效应细胞是
A. Th1.  Tc
B. Th2.  Tc
C. Tc.  Ts
D. Th2 .  Ts
E. Th1 .  Th2

[E]26. 补体缺陷病有：
A. Bruton综合征
B. CD4＋T细胞缺陷
C. SCID
D. G-6-PD
E. CI抑制物缺陷

[D]27. 下列哪种移植一般不会发生GVHR?
A. 骨髓移植
B. 脾脏移植
C. 胸腺移植
D. 肾脏移植
E. 免疫缺陷的新生儿接受输血

[A]28. 属于Ⅱ型超敏反应的疾病是：
A. 新生儿溶血症
B. 系统性红斑狼疮
C. 血清病
D. 接触性皮炎
E. 青霉素过敏性休克

[B]29. CD8＋CTL识别靶细胞T3，可向靶细胞释放
A. IL-2和IL-3
B. 穿孔素和颗粒酶
C. C3和C4
D. TNF
E. GM-CSF

[A]30. Ⅳ型超敏反应又称为：
A. 迟发型超敏反应
B. 速发型超敏反应
C. 细胞毒型超敏反应
D. 免疫复合物型超敏反应
E. 细胞溶解型超敏反应

[D]31. 下列有关自身免疫性疾病共同特征，说法错误的是
A. 有遗传倾向
B. 患者以女性居多
C. 疾病重叠现象
D. 一般发病急，病程短
E. 免疫抑制剂治疗有效

[B]32. 下列不属于自身免疫性溶血性贫血的特点的是
A. 体内出现抗红细胞自身抗体   B. 体内出现抗血小板自身抗体
C. Coomb’s试验阳性   D. 红细胞寿命缩短   E. 贫血

[E]33. 原发性恶性单克隆丙种球蛋白病包括：
A. 多发性骨髓瘤
B. 原发性巨球蛋白血症
C. 重链病
D. 轻链病
E. 以上都是

[D]34. 巨球蛋白血症是以分泌何种Ig的浆细胞恶性增殖为病理基础的疾病：
A. IgA
B. IgG
C. IgE
D. IgM
E. IgD

[C]35. 属于Ⅲ型超敏反应的疾病是：
A. 新生儿溶血症
B. 输血反应
C. 血清病
D. 接触性皮炎
E. 青霉素过敏性休克
